Mechanic,n_present,pct_High_present,pct_High_absent,r_pointbiserial,p_value
Gacha,9,100.0,36.58536585365854,0.4349185275241893,0.0015979974887956612
Loot Box,13,69.23076923076923,40.54054054054054,0.31509269714489746,0.025827208313962357
Pay-to-Win,12,66.66666666666666,42.10526315789473,0.28014420645286936,0.048784698739041725
Time-Limited Cosmetics,36,61.111111111111114,14.285714285714285,0.5696951079673036,1.5742014610719318e-05
Battle Pass,21,57.14285714285714,41.37931034482759,0.21524578509197398,0.13330906056416802
